,mouse,day,x,y,w,h
0,1,1,,,,
1,1,2,,,,
2,1,3,,,,
3,1,4,,,,
4,1,5,,,,
5,1,6,,,,
6,1,7,,,,
7,1,8,,,,
8,1,9,544,584,281,225
9,1,10,535,565,291,245
10,1,11,529,599,326,253
11,1,12,,,,
12,1,13,,,,
13,1,14,,,,
14,1,15,,,,
15,1,16,,,,
16,1,17,,,,
17,1,18,,,,
18,1,19,,,,
19,1,20,660,611,160,128
20,1,21,632,590,167,138
21,1,22,630,583,160,122
22,1,23,629,587,166,132
23,1,24,,,,
24,1,25,,,,
25,1,26,,,,
26,1,27,,,,
27,1,28,,,,
28,1,29,,,,
29,1,30,,,,
30,2,1,,,,
31,2,2,,,,
32,2,3,,,,
33,2,4,,,,
34,2,5,,,,
35,2,6,,,,
36,2,7,,,,
37,2,8,,,,
38,2,9,,,,
39,2,10,,,,
40,2,11,,,,
41,2,12,,,,
42,2,13,,,,
43,2,14,,,,
44,2,15,,,,
45,2,16,,,,
46,2,17,653,605,179,140
47,2,18,677,643,178,153
48,2,19,657,616,183,163
49,2,20,649,612,178,154
50,2,21,645,619,195,176
51,2,22,,,,
52,2,23,,,,
53,2,24,,,,
54,2,25,,,,
